CMDLINE /usr/local/bin/python main.py
MEM 6.171875 1689223239.6585
MEM 19.320312 1689223239.7590
MEM 28.875000 1689223239.8595
MEM 38.726562 1689223239.9600
MEM 46.917969 1689223240.0606
MEM 52.437500 1689223240.1610
MEM 68.570312 1689223240.2615
MEM 75.808594 1689223240.3623
MEM 78.445312 1689223240.4629
MEM 79.218750 1689223240.5635
MEM 83.210938 1689223240.6640
MEM 84.496094 1689223240.7645
MEM 85.785156 1689223240.8649
MEM 86.542969 1689223240.9658
MEM 90.257812 1689223241.0663
MEM 109.011719 1689223241.1668
MEM 109.011719 1689223241.2674
MEM 109.011719 1689223241.3681
