CMDLINE /usr/local/bin/python test.py
MEM 5.855469 1689223449.9302
MEM 18.492188 1689223450.0310
MEM 18.746094 1689223450.1317
MEM 18.746094 1689223450.2323
MEM 19.062500 1689223450.3330
MEM 19.062500 1689223450.4334
MEM 19.062500 1689223450.5339
MEM 19.062500 1689223450.6344
MEM 19.320312 1689223450.7350
MEM 19.320312 1689223450.8355
MEM 19.320312 1689223450.9361
MEM 19.320312 1689223451.0367
MEM 19.578125 1689223451.1372
MEM 19.578125 1689223451.2377
MEM 19.578125 1689223451.3383
MEM 19.578125 1689223451.4388
MEM 19.835938 1689223451.5392
MEM 19.835938 1689223451.6398
MEM 19.835938 1689223451.7402
MEM 19.835938 1689223451.8406
MEM 20.093750 1689223451.9412
MEM 20.093750 1689223452.0417
MEM 20.093750 1689223452.1424
MEM 20.093750 1689223452.2431
MEM 20.351562 1689223452.3435
MEM 20.351562 1689223452.4442
MEM 20.351562 1689223452.5447
MEM 20.609375 1689223452.6452
MEM 20.609375 1689223452.7458
MEM 21.125000 1689223452.8464
MEM 21.125000 1689223452.9470
MEM 21.125000 1689223453.0475
MEM 21.125000 1689223453.1482
MEM 21.375000 1689223453.2487
MEM 21.375000 1689223453.3493
MEM 21.375000 1689223453.4498
MEM 21.644531 1689223453.5504
MEM 21.644531 1689223453.6511
MEM 21.644531 1689223453.7516
MEM 21.644531 1689223453.8522
MEM 21.898438 1689223453.9527
MEM 21.898438 1689223454.0533
MEM 21.898438 1689223454.1540
MEM 22.156250 1689223454.2546
MEM 22.156250 1689223454.3552
MEM 22.156250 1689223454.4557
MEM 22.156250 1689223454.5562
MEM 22.414062 1689223454.6567
MEM 22.414062 1689223454.7571
MEM 22.414062 1689223454.8576
MEM 22.671875 1689223454.9581
MEM 22.671875 1689223455.0607
MEM 22.671875 1689223455.1612
MEM 22.671875 1689223455.2617
MEM 22.929688 1689223455.3623
MEM 22.929688 1689223455.4630
MEM 23.097656 1689223455.5634
MEM 23.097656 1689223455.6640
MEM 23.097656 1689223455.7646
MEM 23.097656 1689223455.8653
MEM 23.351562 1689223455.9657
MEM 23.351562 1689223456.0662
MEM 23.351562 1689223456.1670
MEM 23.578125 1689223456.2675
MEM 23.578125 1689223456.3681
MEM 23.578125 1689223456.4685
MEM 23.578125 1689223456.5692
MEM 23.832031 1689223456.6698
MEM 23.832031 1689223456.7702
MEM 23.832031 1689223456.8708
MEM 24.089844 1689223456.9712
MEM 24.089844 1689223457.0720
MEM 24.089844 1689223457.1726
MEM 24.089844 1689223457.2732
MEM 24.347656 1689223457.3740
MEM 24.347656 1689223457.4745
MEM 24.347656 1689223457.5751
MEM 24.605469 1689223457.6756
MEM 24.605469 1689223457.7761
MEM 24.605469 1689223457.8767
MEM 24.605469 1689223457.9772
MEM 24.863281 1689223458.0780
MEM 24.863281 1689223458.1786
MEM 24.863281 1689223458.2791
